Precio $,Superficie (m2),Habitaciones,Garaje
41100,40,3,Si
52000,40,3,No
54091.09,40,3,No
59500,40,1,No
60000,40,1,No
60101,40,1,No
60101.21,40,3,No
65360,40,1,Si
68131.57,40,1,No
70467.36,40,3,No
72121,40,3,Si
78733,40,1,No
84150,40,3,No
85644.22,40,3,Si
87146.76,40,3,No
87147,40,3,No
93177.11,40,3,No
99167,40,3,Si
108182.17,40,1,Si
114192.3,40,1,Si
123000,40,3,No
128600,40,3,Si
168284,40,1,No
367000,40,3,Si
39065.78,48,3,No
45500,48,1,No
55593.62,48,3,No
57096,48,3,No
60000,48,1,No
62121.45,48,3,No
72121.45,48,3,No
75126.51,48,3,No
76329,48,3,No
84000,48,1,Si
87147,48,1,No
93156.88,48,3,No
93900,48,3,No
96000,48,3,No
105177.11,48,3,Si
106170,48,1,No
111000,48,3,No
111187.24,48,3,No
120000,48,3,No
146350,48,1,No
147248,48,3,Si
156263,48,3,Si
157140,48,3,No
182344.11,48,3,No
214121.51,48,3,No
228384.59,48,1,No
250020.09,48,3,No
367000,48,3,Si
367000,48,3,Si
367000,48,3,Si
37933,50,3,No
41915,50,3,No
45493,50,3,No
48080,50,3,No
53565,50,3,Si
63106.27,50,3,No
63106.27,50,3,No
72000,50,3,No
72000,50,3,No
72121.45,50,3,No
84141,50,3,No
87146,50,3,No
90000,50,3,No
93156,50,3,No
94960,50,3,No
96161,50,3,No
96161.94,50,3,No
96163,50,3,No
96500,50,3,No
97664.47,50,3,No
97985.22,50,3,No
102080,50,3,No
102172,50,3,No
102178,50,3,No
105177,50,3,No
105177,50,3,No
105178,50,3,No
162287,50,3,No
36294,52,3,Si
38530,52,3,No
41203.92,52,3,No
41840,52,3,No
54000,52,3,No
60100,52,3,No
60101.21,52,3,Si
60109.01,52,3,No
69116,52,3,Si
75000,52,3,No
76484,52,3,No
84141.69,52,3,No
84142,52,3,No
84742,52,3,Si
99167,52,3,No
103800,52,3,No
111788.25,52,3,No
115000,52,3,Si
117197,52,3,No
120202.42,52,3,No
125000,52,3,No
126212.54,52,3,No
130720.13,52,3,No
150253,52,3,No
171288,52,3,No
37267.97,55,3,No
39000,55,3,No
60000,55,3,No
60000,55,3,No
74197.5,55,3,No
78132,55,3,No
78132,55,3,No
81136,55,3,No
84141.69,55,1,No
84141.69,55,3,No
87237,55,3,No
90000,55,3,No
90151.82,55,1,Si
90151.82,55,3,No
97373,55,3,No
102000,55,3,No
102000,55,3,No
102172.06,55,3,No
108900,55,1,Si
110000,55,3,No
39065.79,56,3,Si
42021,56,3,No
43258,56,3,No
43677.84,56,3,No
49583.5,56,3,No
50216.29,56,3,No
56495,56,3,No
60101.21,56,1,No
82356,56,3,No
84000,56,3,No
84142,56,3,No
84142,56,3,No
86123.23,56,3,No
87146,56,3,No
90000,56,3,No
90000,56,3,No
90152,56,3,No
96160,56,3,No
108250,56,3,Si
109384,56,3,No
119602,56,3,No
47179.5,58,3,No
48080.97,58,1,No
66000,58,3,No
87146,58,3,No
93156.88,58,3,Si
96000,58,3,No
102172.05,58,3,No
102172.06,58,3,No
106380,58,3,No
114242.9,58,3,No
122100,58,3,No
126150,58,3,Si
60000,59,3,Si
96000,59,3,No
96161.93,59,3,No
105177,59,3,No
106000,59,3,Si
117197,59,3,No
120202.52,59,3,No
129217.6,59,3,No
132222.66,59,3,No
195328.93,59,3,Si
41184.95,60,3,Si
55610.55,60,3,No
57096,60,3,No
66111.33,60,3,Si
72123,60,3,No
78131.57,60,3,No
78131.58,60,3,Si
84142,60,3,Si
96162,60,3,No
107233,60,3,No
108000,60,3,No
108182,60,3,No
108182,60,3,No
117197.36,60,3,No
132000,60,3,No
138232,60,3,Si
159268,60,3,No
50000,61,3,No
53000,61,3,Si
72120,61,3,Si
78100,61,3,No
80000,61,3,No
98576,61,3,No
109400,61,3,No
129217.6,61,3,Si
130000,61,3,Si
132000,61,3,No
42071,62,3,No
57096.15,62,3,No
64000,62,3,No
69150.8,62,3,No
72121.45,62,3,No
78131.57,62,3,No
90151.82,62,3,Si
102172.06,62,3,No
111190,62,3,No
114200,62,3,Si
126212,62,3,No
138232.78,62,3,No
140000,62,3,No
210354.24,62,3,No
39066,63,3,No
40000,63,3,No
54593.86,63,3,No
67000,63,3,No
72000,63,3,No
79734.61,63,3,No
81136.63,63,3,No
95716,63,3,No
96173,63,3,No
97545.21,63,3,No
102170,63,3,No
109763,63,3,Si
114192,63,3,Si
132222.66,63,3,Si
132228,63,3,No
37514.55,64,3,Si
40600,64,3,No
41866.92,64,3,No
41866.92,64,3,No
42704.28,64,3,No
55000,64,3,Si
65800,64,3,No
72000,64,3,No
72121.45,64,3,No
72125,64,3,No
90151.82,64,3,No
93200,64,3,No
95310,64,3,No
96300,64,3,No
102172,64,3,No
102230,64,3,No
106705,64,3,No
108000,64,3,Si
108183,64,3,No
120202,64,3,No
120202.01,64,3,Si
150253.02,64,3,No
155253,64,3,Si
165278,64,3,No
207000,64,3,No
44500,65,3,No
45631.99,65,3,No
48135.72,65,3,No
48135.72,65,3,No
54125,65,3,Si
68816,65,3,No
78131.57,65,3,No
81136,65,3,No
84141,65,3,No
84200,65,3,No
90000,65,3,No
90151.82,65,3,No
90151.82,65,3,No
92000,65,3,No
99765,65,3,No
102000,65,3,No
102172,65,3,No
108082.18,65,3,No
108182,65,3,No
112000,65,3,No
120000,65,3,No
120202,65,3,No
120202,65,3,No
136450,65,3,No
162273.27,65,3,No
163475,65,3,No
165000,65,3,Si
198334,65,3,No
210354.23,65,3,No
50000,66,3,No
61500,66,3,Si
73398,66,3,Si
78000,66,3,No
81135,66,3,No
82639.17,66,3,Si
84000,66,3,No
84000,66,3,No
